,Tourism_asset_id,Tourism_asset,type,address,TripAdvisor_link,significance_clusters,significance_ranking,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,CDUID,CD,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
102,102,Seal Bay Nature Park,Nature & Parks,"Courtenay, British Columbia V9J 1X4, ",https://www.tripadvisor.ca/Attraction_Review-g181789-d6652832-Reviews-Seal_Bay_Nature_Park-Courtenay_Comox_Valley_Vancouver_Island_British_Columbia.html,1,2,166,4.5,56,49.76343,-124.96739,528017.5128,1074414.874,Comox Valley B (Lazo North),5926022,5903,Central Kootenay,,,,,,,,,553,CFB Comox (Comox Airport),49.710833,-124.88666,Comox,11874,13 mins,13,823223,Comox Valley Visitor Centre,49.63456,-125.00369,Cumberland,18444,22 mins,22,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,10912,15 mins,15,11841,15 mins,15,1042,49.682782,-124.98744,STN 150 COURTENAY,Courtenay,8549,10 mins,10,1245,49.71524,-124.90818,COMOX 19 WING FIRE DEPT,Comox,9920,12 mins,12,1770,49.699583,-124.98721,COURTENAY RCMP,Courtenay,0,1,2,1,6,0,8,11,5,3,10,34,47,60,80
103,103,Goldstream Provincial Park,Nature & Parks,"Langford, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1172385-d627587-Reviews-Goldstream_Provincial_Park-Langford_Victoria_Capital_Regional_District_Vancouver_.html,2,3,312,4.5,2242,48.480034,-123.54839,388051.5125,1181582.149,Langford,5917044,5903,Central Kootenay,22295,13260,12905,355,100,45,31338,35622,464,Victoria International Airport,48.646944,-123.42583,North Saanich,36648,33 mins,33,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,19979,25 mins,25,123,Colwood,48.4271392,-123.4854825,Colwood,14655,26,11284,14 mins,14,6659,8 mins,8,1182,48.451373,-123.51792,STN 109 LANGFORD/STN 199 VICDOC,Langford,4410,6 mins,6,1636,48.459935,-123.55068,LANGFORD FIRE DEPT STATION 3,Langford,7782,8 mins,8,1865,48.447979,-123.49497,WESTSHORE RCMP,Langford,0,5,8,1,26,14,40,98,32,22,54,73,154,148,223
104,104,Newcastle Island,"Nature & Wildlife Areas, Nature & Parks","Nanaimo, British Columbia V9R 6X6, ",https://www.tripadvisor.ca/Attraction_Review-g154935-d2225041-Reviews-Newcastle_Island-Nanaimo_Vancouver_Island_British_Columbia.html,1,2,295,4.5,773,49.180454,-123.92862,464890.7651,1151153.319,Nanaimo,5921007,5929,Sunshine Coast,77630,40440,37520,2915,420,285,23463,30562,0,,0,0,,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,,89,1 min,0,1641,49.178565,-123.9239,PROTECTION ISLAND STATION 7,Nanaimo,0,,0,0,0,0,,,0,3,2,1,4,1,13,25,9,3,11,22,32,49,105
105,105,Oak Bay Marina,"Marinas, Nature & Parks","Victoria, British Columbia V8S 2N4, ",https://www.tripadvisor.ca/Attraction_Review-g154945-d8338049-Reviews-Oak_Bay_Marina-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_Briti.html,2,3,174,4.5,1966,48.424324,-123.30218,382537.2049,1200045.169,Oak Bay,5917030,5907,Okanagan-Similkameen,17680,8785,8510,275,365,20,36421,58669,464,Victoria International Airport,48.646944,-123.42583,North Saanich,31547,40 mins,40,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,6383,16 mins,16,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,5021,14 mins,14,3048,8 mins,8,1195,48.433255,-123.32702,DISPATCH REGION 1,Victoria,1752,5 mins,5,1435,48.429338,-123.3128,OAK BAY FIRE DEPT,Oak Bay,1585,5 mins,5,1892,48.429266,-123.3128,OAK BAY,Oak Bay,0,4,8,1,25,14,39,91,32,22,38,50,128,119,173
106,106,Harrison Lake & Hot Springs,"Hot Springs & Geysers, Bodies of Water, Nature & Parks","Harrison Hot Springs, British Columbia V0M 1K0, ",https://www.tripadvisor.ca/Attraction_Review-g154931-d591624-Reviews-Harrison_Lake_Hot_Springs-Harrison_Hot_Springs_British_Columbia.html,1,2,430,4.5,173,49.303036,-121.78259,485440.7384,1306804.978,Harrison Hot Springs,5909027,5923,Alberni-Clayoquot,1540,725,665,60,0,15,21884,26976,506,Chilliwack Airport,49.152777,-121.93888,Chilliwack,31936,27 mins,27,814750,Harrison Hot Springs Tourist/Visitor Info Booth,49.298485,-121.78469,Harrison Hot Springs,716,2 mins,2,166,Chilliwack,49.14529041,-121.9577287,Chilliwack,65421,12,31937,27 mins,27,8856,11 mins,11,1020,49.238248,-121.75918,STN 203 AGASSIZ,Kent,839,2 mins,2,1353,49.297439,-121.78393,HARRISON HOT SPRINGS FIRE DEPT,Harrison Hot Springs,7709,8 mins,8,1747,49.2429,-121.76977,AGASSIZ RCMP,Kent,0,2,0,0,7,1,7,24,8,1,2,18,22,41,67
107,107,Jericho Beach,"Beaches, Outdoor Activities, Nature & Parks","Vancouver, British Columbia V6R 4K5, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d556534-Reviews-Jericho_Beach-Vancouver_British_Columbia.html,0,5,261,4.5,7761,49.273098,-123.20285,476997.0482,1203683.818,Vancouver,5915022,5921,Nanaimo,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,16615,29 mins,29,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,7948,18 mins,18,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,7148,16 mins,16,4849,10 mins,10,1170,49.259705,-123.15277,STN 243 VANCOUVER-ARBUTUS ST,Vancouver,1919,7 mins,7,1711,49.261805,-123.20552,VANCOUVER CITY FIRE DEPT HALL 19,Vancouver,2980,7 mins,7,1929,49.26471,-123.17359,KITSILANO COMMUNITY POLICING,Vancouver,2,12,17,6,136,58,113,205,110,45,77,89,215,233,364
108,108,French Beach Provincial Park,"Beaches, Nature & Parks, Outdoor Activities","Sooke, British Columbia V0S 1N0, ",https://www.tripadvisor.ca/Attraction_Review-g182158-d4818097-Reviews-French_Beach_Provincial_Park-Sooke_Victoria_Capital_Regional_District_Vancouver_I.html,2,3,155,4.5,363,48.37234,-123.7567,375595.8244,1166537.381,Sooke,5917052,5959,Northern Rockies,9685,5405,5175,230,80,90,25479,32495,464,Victoria International Airport,48.646944,-123.42583,North Saanich,59592,1 hour 1 min,61,812182,Sooke Visitor Centre,48.397486,-123.71108,Sooke,6717,9 mins,9,123,Colwood,48.4271392,-123.4854825,Colwood,14655,26,27197,31 mins,31,3195,3 mins,3,1154,48.375196,-123.72554,STN 107 SOOKE,Sooke,3119,5 mins,5,1503,48.382505,-123.73172,SOOKE FIRE DEPT HALL 1,Sooke,4136,6 mins,6,1849,48.380286,-123.71936,SOOKE RCMP,Sooke,0,4,4,1,22,7,31,60,21,21,25,55,122,106,146
109,109,UBC Botanical Garden,"Gardens, Nature & Parks","Vancouver, British Columbia V6T 1Z4, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d268411-Reviews-UBC_Botanical_Garden-Vancouver_British_Columbia.html,0,5,311,4,6884,49.253017,-123.24698,474641.5249,1200558.727,Greater Vancouver A,5915020,5917,Capital,10930,5600,5160,440,110,0,19591,40779,507,Vancouver International Airport,49.194722,-123.18388,Richmond,17208,26 mins,26,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,12116,22 mins,22,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,11354,20 mins,20,1933,4 mins,4,1172,49.263651,-123.24385,STN 262 VANCOUVER-UBC,Greater Vancouver A,1300,3 mins,3,1594,49.258902,-123.23821,VANCOUVER CITY FIRE DEPT HALL 10,Greater Vancouver A,1357,3 mins,3,1860,49.258998,-123.23843,UNIVERSITY RCMP (UBC),Greater Vancouver A,2,12,17,5,134,57,109,203,106,44,77,88,213,228,356
110,110,Maffeo Sutton Park,"Bodies of Water, Nature & Parks","Nanaimo, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154935-d7924301-Reviews-Maffeo_Sutton_Park-Nanaimo_Vancouver_Island_British_Columbia.html,1,2,141,4.5,779,49.171078,-123.93853,463828.4502,1150460.698,Nanaimo,5921007,5915,Greater Vancouver,77630,40440,37520,2915,420,285,23463,30562,482,Nanaimo Airport,49.052222,-123.87027,Nanaimo A,14984,17 mins,17,812174,Nanaimo Visitor Centre,49.187551,-124.00369,Nanaimo C,6212,11 mins,11,67,Nanaimo,49.17038982,-123.9446687,Nanaimo,76645,10,526,2 mins,2,1119,4 mins,4,1107,49.165542,-123.94453,STN 120 NANAIMO-SOUTH,Nanaimo,1203,4 mins,4,1417,49.164688,-123.94534,NANAIMO FIRE RESCUE STATION 1,Nanaimo,1105,3 mins,3,1990,49.163654,-123.93578,NANAIMO COMMUNITY POLICING,Nanaimo,0,3,2,1,4,1,13,25,9,3,11,22,32,49,108
111,111,Pacific Spirit Regional Park,Nature & Parks,"Vancouver, British Columbia V6T 2C9, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d156095-Reviews-Pacific_Spirit_Regional_Park-Vancouver_British_Columbia.html,0,5,218,4.5,7156,49.25917,-123.22241,475394.5827,1202320.93,Greater Vancouver A,5915020,5935,Central Okanagan,10930,5600,5160,440,110,0,19591,40779,507,Vancouver International Airport,49.194722,-123.18388,Richmond,16537,27 mins,27,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,10138,20 mins,20,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,9376,18 mins,18,2273,5 mins,5,1172,49.263651,-123.24385,STN 262 VANCOUVER-UBC,Greater Vancouver A,1640,3 mins,3,1594,49.258902,-123.23821,VANCOUVER CITY FIRE DEPT HALL 10,Greater Vancouver A,1698,3 mins,3,1860,49.258998,-123.23843,UNIVERSITY RCMP (UBC),Greater Vancouver A,2,12,17,6,136,58,110,204,109,44,77,89,215,232,361
112,112,Lakeside Park,Nature & Parks,"Nelson, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181780-d4954708-Reviews-Lakeside_Park-Nelson_Kootenay_Rockies_British_Columbia.html,3,1,116,4.5,138,49.499687,-117.28218,537011.9927,1630285.472,Nelson,5903015,5931,Squamish-Lillooet,9085,5005,4750,250,120,30,22749,29493,541,Castlegar/West Kootenay Regional Airport,49.296388,-117.6325,Castlegar,42576,37 mins,37,812286,Nelson Visitor Centre,49.495194,-117.29315,Nelson,991,2 mins,2,42,Nelson,49.48748867,-117.2946503,Nelson,9677,32,3977,7 mins,7,880,1 min,1,1109,49.506187,-117.27892,STN 421 NELSON,Nelson,1887,5 mins,5,1419,49.488578,-117.29062,NELSON FIRE DEPT,Nelson,1118,3 mins,3,1872,49.508989,-117.27936,NELSON - W KOOTENAY,Nelson,0,1,0,0,5,1,8,4,1,1,2,7,13,18,33
113,113,Ainsworth Hot Springs Resort,"Hot Springs & Geysers, Nature & Parks","Ainsworth Hot Springs, British Columbia V0G 1A0, ",https://www.tripadvisor.ca/Attraction_Review-g499116-d4549560-Reviews-Ainsworth_Hot_Springs_Resort-Ainsworth_Hot_Springs_Kootenay_Rockies_British_Colum.html,3,1,269,4.5,1789,49.73294,-116.91016,566111.7242,1653716.62,Central Kootenay D,5903039,5915,Greater Vancouver,1525,810,710,100,30,40,20816,27205,541,Castlegar/West Kootenay Regional Airport,49.296388,-117.6325,Castlegar,88842,1 hour 17 mins,77,812282,Kaslo Visitor Centre,49.91112,-116.90125,Kaslo,21261,19 mins,19,42,Nelson,49.48748867,-117.2946503,Nelson,9677,32,50243,47 mins,47,21699,19 mins,19,1079,49.913413,-116.91333,STN 412 KASLO,Kaslo,17063,15 mins,15,1704,49.620816,-116.99526,BALFOUR-HARROP FIRE DEPT,Central Kootenay E,21042,18 mins,18,1795,49.910652,-116.90354,KASLO RCMP,Kaslo,0,0,0,0,1,0,0,3,0,1,0,3,5,8,34
114,114,Skookumchuck Narrows Provincial Park,"National Parks, Nature & Parks","Egmont, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g499128-d2304804-Reviews-Skookumchuck_Narrows_Provincial_Park-Egmont_Sunshine_Coast_British_Columbia.html,3,1,212,4.5,36,49.737137,-123.89778,526801.8354,1151566.059,Sunshine Coast A,5929018,5915,Greater Vancouver,2620,1345,1290,55,20,80,21923,29111,507,Vancouver International Airport,49.194722,-123.18388,Richmond,141611,3 hours 38 mins,218,814484,Madeira Park Tourist/Visitor Info Booth,49.619872,-124.02316,Sunshine Coast A,29185,32 mins,32,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,125928,3 hours 7 mins,187,29585,33 mins,33,1095,49.620899,-124.02686,STN 265 MADEIRA PARK,Sunshine Coast A,7050,10 mins,10,1724,49.748998,-123.99411,EGMONT FIRE HALL,Sunshine Coast A,29054,31 mins,31,1951,49.618487,-124.02441,PENDER HARBOUR COMMUNITY POLICING,Sunshine Coast A,0,0,0,0,0,0,1,1,0,0,1,4,9,11,45
115,115,Anarchist Mountain Lookout,"Mountains, Lookouts, Sights & Landmarks, Nature & Parks","Osoyoos, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181723-d253277-Reviews-Anarchist_Mountain_Lookout-Osoyoos_Okanagan_Valley_British_Columbia.html,1,2,142,4.5,296,49.0386,-119.33611,469864.9888,1487111.853,Okanagan-Similkameen A,5907022,5903,Central Kootenay,1885,1115,1070,45,10,15,18897,27003,544,Penticton Regional Airport,49.4625,-119.60222,Penticton,68316,1 hour 14 mins,74,812246,Oliver Visitor Centre,49.184151,-119.54911,Oliver,33856,45 mins,45,40,Penticton,49.49326339,-119.5859191,Penticton,32542,17,72740,1 hour 20 mins,80,33796,45 mins,45,1114,49.182065,-119.5491,STN 326 OLIVER,Oliver,34476,47 mins,46,1439,49.177326,-119.54978,OLIVER FIRE DEPT,Oliver,34404,46 mins,46,1821,49.17758,-119.55098,OLIVER RCMP,Oliver,0,2,1,0,1,0,5,7,2,1,56,5,16,18,73
116,116,Tonquin Park,Nature & Parks,"Tofino, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d3545848-Reviews-Tonquin_Park-Tofino_Clayoquot_Sound_Vancouver_Island_British_Columbia.html,1,2,183,4.5,1199,49.14426,-125.91161,458662.2824,1006455.959,Tofino,5923025,5931,Squamish-Lillooet,1655,1055,1000,55,25,30,22696,30538,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,19594,24 mins,24,812183,Tofino Visitor Centre,49.152451,-125.90279,Tofino,1416,5 mins,5,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,125211,1 hour 51 mins,111,3371,8 mins,8,1194,49.139009,-125.8907,STN 136 TOFINO,Tofino,1156,4 mins,4,1219,49.152779,-125.90634,TOFINO FIRE DEPT,Tofino,1321,4 mins,4,1748,49.152806,-125.904,AHOUSAT RCMP,Tofino,0,1,1,0,2,0,8,9,1,1,2,47,51,62,73
117,117,Westwood Lake Park,Nature & Parks,"Nanaimo, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154935-d4985699-Reviews-Westwood_Lake_Park-Nanaimo_Vancouver_Island_British_Columbia.html,1,2,144,4.5,710,49.16943,-123.99096,463535.4194,1146640.221,Nanaimo,5921007,5901,East Kootenay,77630,40440,37520,2915,420,285,23463,30562,482,Nanaimo Airport,49.052222,-123.87027,Nanaimo A,17813,15 mins,15,812174,Nanaimo Visitor Centre,49.187551,-124.00369,Nanaimo C,3528,4 mins,4,67,Nanaimo,49.17038982,-123.9446687,Nanaimo,76645,10,3988,7 mins,7,3838,7 mins,7,1107,49.165542,-123.94453,STN 120 NANAIMO-SOUTH,Nanaimo,3668,6 mins,6,1417,49.164688,-123.94534,NANAIMO FIRE RESCUE STATION 1,Nanaimo,3781,7 mins,7,1815,49.16448,-123.94422,NANAIMO RCMP,Nanaimo,0,3,3,1,4,1,17,30,10,3,12,24,36,52,118
118,118,Liard River Hot Springs Provincial Park,Nature & Parks,"Muncho Lake, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g3952460-d1753939-Reviews-Liard_River_Hot_Springs_Provincial_Park-Muncho_Lake_British_Columbia.html,3,1,128,5,36,58.95545,-125.76985,1552382.616,1013254.299,Northern Rockies,5959007,5939,Columbia-Shuswap,6105,3920,3635,285,20,150,35521,46913,741,Fort Nelson/Northern Rockies Regional Airport,58.836388,-122.59694,Northern Rockies,249616,3 hours 14 mins,194,812293,Fort Nelson Visitor Centre,58.804913,-122.71251,Northern Rockies,241452,3 hours 5 mins,185,26,Fort St. John,56.23903534,-120.8334511,Fort St. John,16842,25,624223,7 hours 7 mins,427,242286,3 hours 8 mins,188,1057,58.806138,-122.70047,STN 858 FORT NELSON,Northern Rockies,241925,3 hours 7 mins,187,1333,58.802476,-122.70901,FORT NELSON FIRE DEPT,Northern Rockies,242959,3 hours 8 mins,188,1779,58.809516,-122.69342,NORTHERN ROCKIES (FORT NELSON) RCMP,Northern Rockies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
119,119,Shaw Centre for the Salish Sea,"Nature & Parks, Zoos & Aquariums","Sidney, British Columbia V8L 4X3, ",https://www.tripadvisor.ca/Attraction_Review-g181772-d1546629-Reviews-Shaw_Centre_for_the_Salish_Sea-Sidney_Victoria_Capital_Regional_District_Vancouve.html,2,3,283,4.5,699,48.649624,-123.39463,407268.1313,1192273.045,Sidney,5917010,5915,Greater Vancouver,11010,4965,4830,130,50,0,28131,33717,464,Victoria International Airport,48.646944,-123.42583,North Saanich,3013,9 mins,9,812181,Sidney Visitor Centre,48.649052,-123.39612,Sidney,553,3 mins,3,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,26407,28 mins,28,431,2 mins,2,1151,48.649654,-123.39803,STN 106 SIDNEY,Sidney,460,2 mins,2,1495,48.649916,-123.3974,SIDNEY FIRE DEPT,Sidney,660,3 mins,3,1847,48.650892,-123.39861,SIDNEY-NORTH SAANICH RCMP,Sidney,0,8,8,1,30,16,50,125,34,22,72,63,148,140,278
120,120,Derby Reach Regional Park,Nature & Parks,"Langley City, British Columbia V1M 3V2, ",https://www.tripadvisor.ca/Attraction_Review-g181724-d4790616-Reviews-Derby_Reach_Regional_Park-Langley_City_Langley_British_Columbia.html,2,3,145,4.5,638,49.201866,-122.63082,470905.6324,1245685.838,Langley,5915001,5931,Squamish-Lillooet,23340,12800,12160,640,105,10,25758,31747,487,Boundary Bay Airport,49.073888,-123.0075,Delta,38955,46 mins,46,812401,Langley Visitor Centre,49.146232,-122.66767,Langley,8329,13 mins,13,55,Langley (City),49.10476067,-122.6577932,Langley,24287,18,12006,18 mins,18,5617,7 mins,7,1113,49.170984,-122.66557,STN 267 NORTH LANGLEY,Langley,4176,6 mins,6,1646,49.176622,-122.64555,LANGLEY TOWNSHIP FIRE DEPT HALL 8,Langley,5499,8 mins,8,1907,49.163181,-122.63989,WALNET GROVE-FORT LANGLEY,Langley,0,9,8,6,44,15,37,53,65,6,32,18,43,103,148
121,121,City Park,Nature & Parks,"Kelowna, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154933-d283395-Reviews-City_Park-Kelowna_Okanagan_Valley_British_Columbia.html,2,3,242,4.5,1106,49.885117,-119.50346,562417.3966,1466291.767,Kelowna,5935010,5915,Greater Vancouver,105170,57300,54525,2770,595,215,25134,33647,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,15311,22 mins,22,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,886,3 mins,3,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,5100,10 mins,10,494,2 mins,2,1082,49.885162,-119.49758,STN 340 KELOWNA-LAWRENCE,Kelowna,697,3 mins,2,1685,49.885007,-119.49687,KELOWNA FIRE DEPT HALL 2,Kelowna,1057,5 mins,5,1796,49.889189,-119.49518,KELOWNA RCMP,Kelowna,0,3,7,2,18,6,22,32,27,8,95,41,104,104,166
122,122,Alexander Falls,"Waterfalls, Nature & Parks","Whistler, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154948-d3236057-Reviews-Alexander_Falls-Whistler_British_Columbia.html,1,2,155,4.5,133,50.133617,-123.12974,572806.416,1205126.603,Squamish-Lillooet D,5931021,5915,Greater Vancouver,835,585,555,35,10,10,32772,40923,507,Vancouver International Airport,49.194722,-123.18388,Richmond,130581,2 hours 0 mins,120,812212,Whistler Visitor Centre,50.11596,-122.95584,Whistler,23613,25 mins,25,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,114898,1 hour 29 mins,89,24733,26 mins,26,1187,50.122201,-122.96066,STN 224 WHISTLER,Whistler,16751,18 mins,18,1572,50.08679,-123.0239,WHISTLER FIRE DEPT HALL 3,Whistler,23813,25 mins,25,1866,50.11671,-122.9541,WHISTLER RCMP,Whistler,0,3,4,0,14,0,20,12,17,5,7,8,53,68,94
123,123,Traboulay Poco Trail,"Hiking Trails, Nature & Parks, Outdoor Activities","Port Coquitlam, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181777-d4310959-Reviews-Traboulay_Poco_Trail-Port_Coquitlam_British_Columbia.html,4,4,139,4.5,655,49.25835,-122.74055,476800.0914,1237401.056,Port Coquitlam,5915039,5915,Greater Vancouver,52230,30380,28905,1475,220,30,28403,36761,487,Boundary Bay Airport,49.073888,-123.0075,Delta,42020,44 mins,44,814218,Coquitlam Tourist/Visitor Info Booth,49.285746,-122.79203,Coquitlam,5914,12 mins,12,84,Port Coquitlam,49.25660054,-122.7598514,Port Coquitlam,51423,14,4724,8 mins,8,6059,11 mins,11,1124,49.259724,-122.79913,STN 263 PORT COQUITLAM,Coquitlam,2818,6 mins,6,1667,49.270585,-122.75279,PORT COQUITLAM FIRE RESCUE HALL 2,Port Coquitlam,2869,6 mins,6,1912,49.272906,-122.75561,PORT COQUITLAM COMMUNITY POLICING,Port Coquitlam,2,14,19,10,141,61,102,179,123,45,83,70,203,240,319
124,124,Centennial Beach,"Beaches, Nature & Parks, Outdoor Activities","Tsawwassen, Delta, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g678579-d2521116-Reviews-Centennial_Beach-Tsawwassen_Delta_British_Columbia.html,4,4,186,4.5,409,49.02456,-123.05852,449836.1312,1215334.715,Delta,5915011,5903,Central Kootenay,96075,53105,50635,2470,600,180,29315,38313,487,Boundary Bay Airport,49.073888,-123.0075,Delta,12883,17 mins,17,812194,Delta Visitor Centre,49.112155,-123.04951,Delta,11116,13 mins,13,59,Richmond,49.17057176,-123.1018623,Richmond,165133,4,20081,20 mins,20,9322,11 mins,11,1049,49.087362,-123.06003,STN 251 DELTA,Delta,1117,3 mins,3,1629,49.024389,-123.0737,DELTA FIRE DEPT TSAWWASSEN HALL 2,Delta,936,2 mins,2,1903,49.02293,-123.06826,TSAWWASSEN,Delta,2,14,17,8,134,53,105,195,110,42,72,66,181,180,339
125,125,Nakusp Hot Springs,"Hot Springs & Geysers, Nature & Parks","Nakusp, British Columbia VOG 1RO, ",https://www.tripadvisor.ca/Attraction_Review-g499140-d1907307-Reviews-Nakusp_Hot_Springs-Nakusp_Kootenay_Rockies_British_Columbia.html,3,1,190,4.5,4,50.296436,-117.685326,621503.6,1590892.623,Nakusp,5903050,5923,Alberni-Clayoquot,1510,790,710,75,10,40,22464,29544,541,Castlegar/West Kootenay Regional Airport,49.296388,-117.6325,Castlegar,157098,2 hours 8 mins,128,812284,Nakusp Visitor Centre,50.239709,-117.80528,Nakusp,14327,18 mins,18,42,Nelson,49.48748867,-117.2946503,Nelson,9677,32,159089,2 hours 6 mins,126,14188,18 mins,18,1106,50.242976,-117.80721,STN 419 NAKUSP,Nakusp,14130,17 mins,17,1416,50.24143,-117.80453,NAKUSP VOL FIRE DEPT,Nakusp,13351,16 mins,16,1814,50.247668,-117.80749,NAKUSP RCMP,Nakusp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17
126,126,Nairn Falls Provincial Park,"National Parks, Waterfalls, Nature & Parks","Pemberton, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g183736-d619178-Reviews-Nairn_Falls_Provincial_Park-Pemberton_British_Columbia.html,1,2,212,4.5,296,50.28927,-122.832924,591011.5583,1225550.917,Squamish-Lillooet C,5931017,5935,Central Okanagan,1885,1280,1195,85,25,45,22551,28632,507,Vancouver International Airport,49.194722,-123.18388,Richmond,162252,2 hours 23 mins,143,812204,Pemberton Visitor Centre,50.314868,-122.75725,Pemberton,7467,7 mins,7,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,146569,1 hour 53 mins,113,4849,5 mins,5,1118,50.320005,-122.80418,STN 219 PEMBERTON,Pemberton,5643,8 mins,8,1448,50.321247,-122.81054,PEMBERTON FIRE DEPT,Pemberton,5511,7 mins,7,1825,50.32077,-122.80859,PEMBERTON RCMP,Pemberton,0,4,4,0,15,0,20,12,17,5,8,11,59,80,110
127,127,Kootenay National Park,"Mountains, National Parks, Nature & Parks","Radium Hot Springs, British Columbia V0A 1E0, ",https://www.tripadvisor.ca/Attraction_Review-g182160-d8453948-Reviews-Kootenay_National_Park-Radium_Hot_Springs_Kootenay_Rockies_British_Columbia.html,3,1,116,4.5,226,50.61987,-116.06973,671934.6787,1699981.875,Radium Hot Springs,5901040,5915,Greater Vancouver,730,515,495,20,0,15,28663,36723,580,Cranbrook/Canadian Rockies International Airport,49.612222,-115.78194,Cranbrook,151859,1 hour 37 mins,97,812288,Radium Hot Springs Visitor Centre,50.619367,-116.07038,Radium Hot Springs,181,1 min,1,46,Kimberley,49.67531114,-115.9873367,Kimberley,6976,37,131107,1 hour 28 mins,88,16673,16 mins,16,1076,50.505937,-116.03452,STN 411 INVERMERE,Invermere,589,2 mins,2,1466,50.620074,-116.0758,RADIUM HOT SPRINGS VOL FIRE DEPT,Radium Hot Springs,45,1 min,0,1960,50.61956,-116.06924,RADIUM HOT SPRINGS COMMUNITY POLICING,East Kootenay G,0,2,0,0,0,0,8,9,2,0,1,5,8,23,38
