,Tourism_asset,Accessbility_Assignments,Accessbility_Value,Tourism_asset_id,type,address,TripAdvisor_link,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
373,Queen of Peace Monastery,2,5,1594,"Sacred & Religious Sites, Sights & Landmarks","Squamish, British Columbia V0N 1T0, ",https://www.tripadvisor.ca/Attraction_Review-g181771-d8396015-Reviews-Queen_of_Peace_Monastery-Squamish_British_Columbia.html,5,5,84,49.88246,-123.233185,544597.1628,1198829.193,Squamish-Lillooet D,5931021,835,585,555,35,10,10,32772,40923,507,Vancouver International Airport,49.194722,-123.18388,Richmond,104683,1 hour 49 mins,109,812209,Squamish Visitor Centre,49.707008,-123.14586,Squamish,28007,32 mins,32,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,89000,1 hour 18 mins,78,26488,31 mins,31,1156,49.717205,-123.15366,STN 222 SQUAMISH,Squamish,23337,27 mins,27,1635,49.742215,-123.1339,SQUAMISH DISTRICT FIRE HALL 2,Squamish,26022,29 mins,29,1989,49.718749,-123.14684,SQUAMISH RCMP,Squamish,0,1,2,0,4,0,4,7,8,4,6,9,20,41,35
374,Coquihalla Summit Recreation Area,2,5,763,"Nature & Wildlife Areas, Nature & Parks","Hope, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181784-d6434594-Reviews-Coquihalla_Summit_Recreation_Area-Hope_British_Columbia.html,5,4.5,386,49.377293,-121.44041,495218.4847,1331133.376,Hope,5909009,6115,2975,2700,280,10,35,21305,28706,506,Chilliwack Airport,49.152777,-121.93888,Chilliwack,51812,31 mins,31,812197,Hope Visitor Centre,49.374476,-121.44177,Hope,511,2 mins,2,166,Chilliwack,49.14529041,-121.9577287,Chilliwack,65421,12,51813,31 mins,31,401,2 mins,2,1073,49.375567,-121.44089,STN 214 HOPE,Hope,321,1 min,1,1359,49.379918,-121.44133,HOPE FIRE DEPT,Hope,1257,3 mins,3,1871,49.375191,-121.42592,HOPE,Hope,0,2,0,0,2,0,3,13,0,0,1,5,6,14,36
375,Cranbrook & District Arts Council,2,5,4037,"Art Galleries, Gift & Speciality Shops, Museums, Shopping","Cranbrook, British Columbia V1C 1A6, ",https://www.tripadvisor.ca/Attraction_Review-g181788-d12351101-Reviews-Cranbrook_District_Arts_Council-Cranbrook_Kootenay_Rockies_British_Columbia.html,2,5,44,49.51184,-115.76677,553006.6468,1738945.646,Cranbrook,5901022,17950,9505,9005,500,40,145,23781,31940,580,Cranbrook/Canadian Rockies International Airport,49.612222,-115.78194,Cranbrook,14896,16 mins,16,812274,Cranbrook Visitor Centre,49.533287,-115.74292,Cranbrook,3061,6 mins,6,47,Cranbrook,49.51259218,-115.7506584,Cranbrook,19874,20,1696,5 mins,5,441,2 mins,2,1043,49.514068,-115.76289,STN 403 CRANBROOK,Cranbrook,197,1 min,1,2026,49.510695,-115.76644,CRANBROOK FIRE DEPT HALL 1,Cranbrook,166,1 min,1,1771,49.510977,-115.76643,CRANBROOK RCMP,Cranbrook,0,1,0,1,1,2,0,3,7,0,1,2,4,19,41
376,Chesterman Beach,0,4,6,"Beaches, Nature & Parks, Outdoor Activities","Tofino, British Columbia V0R 2Z0, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d657003-Reviews-Chesterman_Beach-Tofino_Clayoquot_Sound_Vancouver_Island_British_Columbia.html,1146,5,1194,49.11098,-125.89202,454967.7845,1007892.44,Tofino,5923025,1655,1055,1000,55,25,30,22696,30538,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,13731,15 mins,15,812183,Tofino Visitor Centre,49.152451,-125.90279,Tofino,5910,8 mins,8,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,119349,1 hour 42 mins,102,3954,5 mins,5,1194,49.139009,-125.8907,STN 136 TOFINO,Tofino,6170,9 mins,9,1219,49.152779,-125.90634,TOFINO FIRE DEPT,Tofino,6003,9 mins,9,1855,49.152766,-125.90399,TOFINO RCMP,Tofino,0,1,1,0,2,0,8,9,1,1,2,47,51,62,79
377,Gold Muchalat Provincial Park,0,4,802,Nature & Parks,"Gold River, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1808535-d6419670-Reviews-Gold_Muchalat_Provincial_Park-Gold_River_Vancouver_Island_British_Columbia.html,4,4.5,80,49.7804,-126.0539,529363.2191,996117.0045,Gold River,5924025,1360,755,705,50,10,80,26496,33895,566,Campbell River Airport,49.950833,-125.27083,Campbell River,98707,1 hour 34 mins,94,812172,Gold River Visitor Centre,49.779183,-126.05198,Gold River,440,1 min,1,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,139068,1 hour 58 mins,118,850,1 min,1,1066,49.780824,-126.04735,STN 155 GOLD RIVER,Gold River,821,1 min,1,1210,49.780603,-126.04756,GOLD RIVER VOL FIRE DEPT,Gold River,1041,3 mins,3,1786,49.780563,-126.04751,GOLD RIVER RCMP,Gold River,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5
378,Old City Quarter,2,5,1487,"Neighbourhoods, Other, Sights & Landmarks","Nanaimo, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154935-d6412358-Reviews-Old_City_Quarter-Nanaimo_Vancouver_Island_British_Columbia.html,41,4,773,49.16555,-123.93674,463218.3787,1150609.204,Nanaimo,5921007,77630,40440,37520,2915,420,285,23463,30562,482,Nanaimo Airport,49.052222,-123.87027,Nanaimo A,14139,15 mins,15,812174,Nanaimo Visitor Centre,49.187551,-124.00369,Nanaimo C,6686,10 mins,10,67,Nanaimo,49.17038982,-123.9446687,Nanaimo,76645,10,1037,4 mins,4,765,3 mins,3,1107,49.165542,-123.94453,STN 120 NANAIMO-SOUTH,Nanaimo,764,3 mins,3,1417,49.164688,-123.94534,NANAIMO FIRE RESCUE STATION 1,Nanaimo,260,1 min,1,1990,49.163654,-123.93578,NANAIMO COMMUNITY POLICING,Nanaimo,0,3,2,1,4,1,13,25,9,3,11,22,32,48,107
379,Weymer Creek Provincial Park,3,3,1272,Nature & Parks,"Tahsis, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1767093-d6510344-Reviews-Weymer_Creek_Provincial_Park-Tahsis_Vancouver_Island_British_Columbia.html,0,0,12,49.924976,-126.65561,545657.5754,952918.9414,Tahsis,5924030,365,200,180,20,0,55,16960,23072,566,Campbell River Airport,49.950833,-125.27083,Campbell River,162945,3 hours 0 mins,180,812172,Gold River Visitor Centre,49.779183,-126.05198,Gold River,65643,1 hour 30 mins,90,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,203306,3 hours 24 mins,204,396,1 min,1,1162,49.924134,-126.65268,STN 133 TAHSIS,Tahsis,542,1 min,1,1215,49.923869,-126.66231,TAHSIS FIRE DEPT,Tahsis,239,1 min,1,1853,49.924463,-126.65358,TAHSIS RCMP,Tahsis,0,0,0,0,0,0,0,1,1,0,0,5,5,6,12
380,Matsqui Trail Regional Park,2,5,444,"Hiking Trails, Nature & Parks, Outdoor Activities","Abbotsford, British Columbia V3G 1N2, ",https://www.tripadvisor.ca/Attraction_Review-g181725-d7182128-Reviews-Matsqui_Trail_Regional_Park-Abbotsford_British_Columbia.html,20,4.5,362,49.062706,-122.25372,456849.9393,1273977.891,Abbotsford,5909052,122175,65645,62025,3620,380,135,22990,31051,484,Abbotsford International Airport,49.025277,-122.36055,Abbotsford,12857,15 mins,15,812188,Abbotsford Visitor Centre,49.036651,-122.26672,Abbotsford,4053,7 mins,7,53,Abbotsford,49.05461205,-122.1834292,Upper Sumas 6,115126,5,8285,10 mins,10,4370,7 mins,7,1018,49.038582,-122.27647,STN 202 ABBOTSFORD,Abbotsford,295,3 mins,3,1719,49.061972,-122.25546,ABBOTSFORD FIRE DEPT HALL 7,Abbotsford,3539,7 mins,7,1970,49.049103,-122.28953,ABBOTSFORD COMMUNITY POLICING,Abbotsford,0,4,3,2,12,5,9,35,19,2,20,20,32,63,72
381,Deer Lake Park,2,5,139,Nature & Parks,"Burnaby, British Columbia V5G 2J3, ",https://www.tripadvisor.ca/Attraction_Review-g181793-d4765406-Reviews-Deer_Lake_Park-Burnaby_British_Columbia.html,152,4.5,4571,49.23543,-122.97797,473488.5755,1220228.241,Burnaby,5915025,200855,109545,102125,7420,1505,160,22319,30829,507,Vancouver International Airport,49.194722,-123.18388,Richmond,18548,31 mins,31,812202,New Westminster Visitor Centre,49.200459,-122.91014,New Westminster,8460,19 mins,19,114,Burnaby,49.24637317,-122.9639663,Burnaby,192389,3,5180,11 mins,11,1770,4 mins,4,1112,49.224097,-122.98557,STN 260 NEW WESTMINSTER-12TH,Burnaby,1706,5 mins,5,1570,49.224952,-122.99196,BURNABY FIRE DEPT STATION 3,Burnaby,3277,7 mins,7,1760,49.242135,-122.97079,BURNABY RCMP,Burnaby,2,12,19,9,150,65,123,219,137,47,82,87,222,262,388
382,Mallard Nature Park,0,4,924,"Forests, Nature & Wildlife Areas, Hiking Trails, Outdoor Activities, Nature & Parks, More","Courtenay, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181789-d9732813-Reviews-Mallard_Nature_Park-Courtenay_Comox_Valley_Vancouver_Island_British_Columbia.html,4,3.5,187,49.653778,-124.98638,515807.3969,1073221.015,Comox Valley A,5926021,,,,,,,,,553,CFB Comox (Comox Airport),49.710833,-124.88666,Comox,15266,22 mins,22,823223,Comox Valley Visitor Centre,49.63456,-125.00369,Cumberland,3084,4 mins,4,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,5410,10 mins,10,4049,6 mins,6,1042,49.682782,-124.98744,STN 150 COURTENAY,Courtenay,5321,8 mins,8,1207,49.686045,-125.00082,COURTENAY FIRE DEPT,Courtenay,6553,11 mins,11,1770,49.699583,-124.98721,COURTENAY RCMP,Courtenay,0,1,2,1,6,0,9,13,5,2,14,22,31,44,79
383,MK Bay Marina,0,4,1153,"Marinas, Nature & Parks","Kitimat, Kitimat-Stikine District, British Columbia V8C 2G7, ",https://www.tripadvisor.ca/Attraction_Review-g671271-d10902835-Reviews-MK_Bay_Marina-Kitimat_Kitimat_Stikine_District_British_Columbia.html,0,0,461,53.98012,-128.65147,1000640.356,826556.5155,Kitimat-Stikine C (Part 2),5949020,,,,,,,,,455,Terrace (Northwest Regional) Airport,54.468611,-128.57833,Terrace,64174,46 mins,46,812304,Kitimat Visitor Centre,53.974553,-128.64845,Kitamaat 2,1050,3 mins,2,19,Terrace,54.51567681,-128.610207,Terrace,13871,27,71710,53 mins,53,12492,15 mins,15,1016,54.053785,-128.63439,STN 623 KITIMAT,Kitimat,908,2 mins,2,1376,53.974322,-128.64572,KITAMAAT VILLAGE FIRE DEPT,Kitamaat 2,13640,17 mins,17,1799,54.049841,-128.65126,KITIMAT RCMP,Kitimat,0,1,0,0,0,0,2,0,0,0,0,1,1,2,11
384,Pulteney Point Lighthouse,3,3,1573,"Lighthouses, Points of Interest & Landmarks, Sights & Landmarks","British Columbia V0N 3E0, ",https://www.tripadvisor.ca/Attraction_Review-g6899054-d7066507-Reviews-Pulteney_Point_Lighthouse-Malcolm_Island_Vancouver_Island_British_Columbia.html,7,4.5,18,50.645847,-126.99789,626148.1272,929470.9065,Mount Waddington A,5943037,1050,505,405,105,10,80,14887,22822,0,,0,0,,0,,0,816247,Sointula Tourist/Visitor Info Booth,50.626905,-127.01741,Mount Waddington A,6502,11 mins,11,0,,0,0,,0,0,0,,0,6705,11 mins,11,1153,50.626032,-127.01621,STN 132 SOINTULA,Mount Waddington A,6718,11 mins,11,1502,50.625013,-127.01673,SOINTULA FIRE DEPT,Mount Waddington A,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,0,3,0,12,19,18,28
385,Kwinitsa Station Railway Museum & Park,0,4,3953,"Speciality Museums, Museums","Prince Rupert, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154939-d6419751-Reviews-Kwinitsa_Station_Railway_Museum_Park-Prince_Rupert_British_Columbia.html,10,4.5,121,54.31409,-130.32895,1043254.703,719213.9341,Prince Rupert,5947012,12755,6950,6060,895,35,435,24835,31481,693,Prince Rupert Airport,54.286111,-130.44472,Skeena-Queen Charlotte A,11591,44 mins,44,812296,Prince Rupert Visitor Centre,54.313018,-130.32601,Prince Rupert,495,2 mins,2,20,Prince Rupert,54.27185405,-130.2717334,Prince Rupert,17027,24,10026,11 mins,11,1859,6 mins,6,1132,54.305563,-130.33158,STN 684 PRINCE RUPERT,Prince Rupert,349,1 min,1,1460,54.315647,-130.32505,PRINCE RUPERT FIRE DEPT,Prince Rupert,1018,4 mins,4,1833,54.313239,-130.31824,PRINCE RUPERT RCMP,Prince Rupert,0,1,0,1,1,1,0,3,2,1,1,16,19,20,24
386,Gordon Smith Gallery of Canadian Art,2,5,4021,"Art Galleries, Shopping, Museums","North Vancouver, British Columbia V7M 2K6, ",https://www.tripadvisor.ca/Attraction_Review-g181717-d8388691-Reviews-Gordon_Smith_Gallery_of_Canadian_Art-North_Vancouver_British_Columbia.html,6,4,7839,49.328785,-123.0723,483563.985,1212929.118,North Vancouver,5915051,44860,27325,26060,1270,630,45,27800,35743,507,Vancouver International Airport,49.194722,-123.18388,Richmond,29564,40 mins,40,812203,North Vancouver Visitor Centre,49.310408,-123.08112,North Vancouver,2271,8 mins,8,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,1093,4 mins,4,1384,5 mins,5,1105,49.320183,-123.06685,STN 256 NORTH VANCOUVER,North Vancouver,1159,4 mins,4,1433,49.319763,-123.0699,NORTH VANCOUVER CITY FIRE AND RESCUE,North Vancouver,1140,4 mins,4,1820,49.320734,-123.06986,NORTH VANCOUVER RCMP,North Vancouver,2,11,17,6,141,60,116,200,116,47,73,87,214,237,351
387,Sechelt Inlets Marine Provincial Park,2,5,881,Nature & Parks,"Sechelt, British Columbia V0N 1V6, ",https://www.tripadvisor.ca/Attraction_Review-g499146-d7281901-Reviews-Sechelt_Inlets_Marine_Provincial_Park-Sechelt_Sunshine_Coast_British_Columbia.html,2,5,133,49.47348,-123.75633,497819.3788,1162689.827,Sechelt,5929011,0,370,325,45,0,15,14510,21450,507,Vancouver International Airport,49.194722,-123.18388,Richmond,81211,2 hours 40 mins,160,812208,Sechelt Visitor Centre,49.470711,-123.76336,Sechelt,742,2 mins,2,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,65528,2 hours 9 mins,129,368,2 mins,2,1148,49.471696,-123.75446,STN 235 SECHELT,Sechelt,242,1 min,1,1487,49.473102,-123.75941,SECHELT FIRE DEPT,Sechelt,849,3 mins,3,1845,49.471107,-123.76417,SECHELT RCMP,Sechelt,0,2,0,0,0,1,5,9,1,0,8,8,18,21,92
388,Claud Elliott Provincial Park,0,4,1314,Nature & Parks,"Woss, British Columbia V0N 3P0, ",https://www.tripadvisor.ca/Attraction_Review-g1172383-d6372398-Reviews-Claud_Elliott_Provincial_Park-Woss_Vancouver_Island_British_Columbia.html,0,0,26,50.211895,-126.60138,577538.4786,957084.3709,Mount Waddington D,5943033,300,185,185,0,0,10,24684,37883,613,Port Hardy Airport,50.680555,-127.36666,Port Hardy,100651,1 hour 7 mins,67,812177,Port Hardy Visitor Centre,50.723394,-127.49224,Port Hardy,105472,1 hour 9 mins,69,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,181231,2 hours 0 mins,120,65906,43 mins,43,1126,50.581773,-127.07403,STN 129 PORT MCNEILL,Port McNeill,198,1 min,1,1559,50.212201,-126.6038,WOSS FIRE DEPT,Mount Waddington D,65757,43 mins,43,1830,50.581379,-127.07288,PORT MCNEILL RCMP,Port McNeill,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
389,Olive Lake,0,4,369,"Bodies of Water, Nature & Parks","Radium Hot Springs, British Columbia V0A 1M0, ",https://www.tripadvisor.ca/Attraction_Review-g182160-d8513962-Reviews-Olive_Lake-Radium_Hot_Springs_Kootenay_Rockies_British_Columbia.html,28,4.5,226,50.62302,-116.07045,672274.7651,1699882.434,Radium Hot Springs,5901040,730,515,495,20,0,15,28663,36723,580,Cranbrook/Canadian Rockies International Airport,49.612222,-115.78194,Cranbrook,152252,1 hour 37 mins,97,812288,Radium Hot Springs Visitor Centre,50.619367,-116.07038,Radium Hot Springs,573,2 mins,2,46,Kimberley,49.67531114,-115.9873367,Kimberley,6976,37,131500,1 hour 29 mins,89,17066,16 mins,16,1076,50.505937,-116.03452,STN 411 INVERMERE,Invermere,769,2 mins,2,1466,50.620074,-116.0758,RADIUM HOT SPRINGS VOL FIRE DEPT,Radium Hot Springs,572,1 min,1,1960,50.61956,-116.06924,RADIUM HOT SPRINGS COMMUNITY POLICING,East Kootenay G,0,2,0,0,0,0,8,9,2,0,1,5,8,23,38
390,Schoen Lake Provincial Park,0,4,998,Nature & Parks,"Woss, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1172383-d6438485-Reviews-Schoen_Lake_Provincial_Park-Woss_Vancouver_Island_British_Columbia.html,1,5,26,50.211895,-126.60138,577538.4786,957084.3709,Mount Waddington D,5943033,300,185,185,0,0,10,24684,37883,613,Port Hardy Airport,50.680555,-127.36666,Port Hardy,100651,1 hour 7 mins,67,812177,Port Hardy Visitor Centre,50.723394,-127.49224,Port Hardy,105472,1 hour 9 mins,69,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,181231,2 hours 0 mins,120,65906,43 mins,43,1126,50.581773,-127.07403,STN 129 PORT MCNEILL,Port McNeill,198,1 min,0,1559,50.212201,-126.6038,WOSS FIRE DEPT,Mount Waddington D,65757,43 mins,43,1830,50.581379,-127.07288,PORT MCNEILL RCMP,Port McNeill,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
391,Dakota Ridge,2,5,553,Nature & Parks,"Sechelt, British Columbia V0N 3A1, ",https://www.tripadvisor.ca/Attraction_Review-g499146-d647481-Reviews-Dakota_Ridge-Sechelt_Sunshine_Coast_British_Columbia.html,14,5,129,49.4474,-123.71027,495029.1812,1166122.251,Sechelt,5929011,0,370,325,45,0,15,14510,21450,507,Vancouver International Airport,49.194722,-123.18388,Richmond,75915,2 hours 33 mins,152,812208,Sechelt Visitor Centre,49.470711,-123.76336,Sechelt,7530,10 mins,10,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,60232,2 hours 2 mins,122,6924,9 mins,9,1148,49.471696,-123.75446,STN 235 SECHELT,Sechelt,5730,5 mins,5,1472,49.429693,-123.64914,ROBERTS CREEK VOL FIRE DEPT,Sunshine Coast D,7732,11 mins,11,1845,49.471107,-123.76417,SECHELT RCMP,Sechelt,0,3,0,0,2,1,7,11,1,0,8,10,20,26,108
392,Bluffs Park,0,4,371,"Hiking Trails, Outdoor Activities, Nature & Parks","British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g184840-d8449901-Reviews-Bluffs_Park-Galiano_Island_British_Columbia.html,22,4.5,635,48.86813,-123.33363,431678.001,1195859.149,Capital G,5917029,5100,2560,2445,115,120,25,21898,34022,464,Victoria International Airport,48.646944,-123.42583,North Saanich,36752,1 hour 56 mins,116,812180,Salt Spring Island Visitor Centre,48.853157,-123.49985,Capital F,27890,1 hour 45 mins,105,68,Duncan,48.77731484,-123.7053172,Duncan,4766,39,51894,2 hours 45 mins,165,5793,8 mins,8,1063,48.892362,-123.35439,STN 117 GALIANO ISLAND,Capital G,5369,8 mins,8,1504,48.889049,-123.34928,SOUTH GALIANO FIRE DEPT,Capital G,3084,5 mins,5,1946,48.879015,-123.31998,GALIANO ISLAND RCMP,Capital G,0,5,2,0,7,4,16,54,5,0,39,24,37,46,160
393,Steelhead Park,3,3,829,"Hiking Trails, Nature & Parks, Outdoor Activities","Houston, British Columbia V0J 1Z0, ",https://www.tripadvisor.ca/Attraction_Review-g644374-d7618623-Reviews-Steelhead_Park-Houston_British_Columbia.html,4,4.5,21,54.39976,-126.67008,1044434.614,956601.0668,Houston,5951034,3165,1865,1670,195,0,90,28497,35670,709,Smithers Airport,54.825277,-127.18277,Smithers,68844,52 mins,52,812300,Houston Visitor Centre,54.398249,-126.65425,Houston,994,2 mins,2,19,Terrace,54.51567681,-128.610207,Terrace,13871,27,267363,3 hours 1 min,181,1098,4 mins,4,1074,54.396322,-126.65359,STN 767 HOUSTON,Houston,1592,4 mins,4,1361,54.398607,-126.64761,HOUSTON FIRE DEPT,Houston,1547,4 mins,4,1791,54.398617,-126.6483,HOUSTON RCMP,Houston,0,0,0,0,0,0,0,3,0,0,1,0,0,3,3
394,Seal Bay Nature Park,0,4,102,Nature & Parks,"Courtenay, British Columbia V9J 1X4, ",https://www.tripadvisor.ca/Attraction_Review-g181789-d6652832-Reviews-Seal_Bay_Nature_Park-Courtenay_Comox_Valley_Vancouver_Island_British_Columbia.html,166,4.5,56,49.76343,-124.96739,528017.5128,1074414.874,Comox Valley B (Lazo North),5926022,,,,,,,,,553,CFB Comox (Comox Airport),49.710833,-124.88666,Comox,11874,13 mins,13,823223,Comox Valley Visitor Centre,49.63456,-125.00369,Cumberland,18444,22 mins,22,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,10912,15 mins,15,11841,15 mins,15,1042,49.682782,-124.98744,STN 150 COURTENAY,Courtenay,8549,10 mins,10,1245,49.71524,-124.90818,COMOX 19 WING FIRE DEPT,Comox,9920,12 mins,12,1770,49.699583,-124.98721,COURTENAY RCMP,Courtenay,0,1,2,1,6,0,8,11,5,3,10,34,47,60,80
395,Mary Winspear Centre,2,5,1440,"Civic Centres, Theatres, Sights & Landmarks, Concerts & Shows","Sidney, British Columbia V8L 1W9, ",https://www.tripadvisor.ca/Attraction_Review-g181772-d2437455-Reviews-Mary_Winspear_Centre-Sidney_Victoria_Capital_Regional_District_Vancouver_Island_B.html,57,4.5,698,48.648754,-123.40584,407141.241,1191449.67,Sidney,5917010,11010,4965,4830,130,50,0,28131,33717,464,Victoria International Airport,48.646944,-123.42583,North Saanich,2069,5 mins,5,812181,Sidney Visitor Centre,48.649052,-123.39612,Sidney,4898,7 mins,7,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,25872,24 mins,24,1961,7 mins,7,1151,48.649654,-123.39803,STN 106 SIDNEY,Sidney,3724,4 mins,4,1745,48.629708,-123.42906,NORTH SAANICH SOUTH FIRE HALL,North Saanich,1886,7 mins,7,1847,48.650892,-123.39861,SIDNEY-NORTH SAANICH RCMP,Sidney,0,8,8,1,31,16,50,125,34,22,72,63,148,140,279
396,Westbank Museum,2,5,3934,"Speciality Museums, Museums","West Kelowna, British Columbia V4T 2H9, ",https://www.tripadvisor.ca/Attraction_Review-g1915410-d4776935-Reviews-Westbank_Museum-West_Kelowna_Okanagan_Valley_British_Columbia.html,14,4.5,294,49.829884,-119.62367,555515.4794,1458239.713,West Kelowna,5935029,,,,,,,,,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,28092,36 mins,36,812262,West Kelowna Visitor Centre,49.828703,-119.62547,West Kelowna,298,1 min,1,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,17882,24 mins,24,1178,4 mins,4,1186,49.829805,-119.63488,STN 339 WEST KELOWNA,West Kelowna,576,3 mins,3,1547,49.831235,-119.62485,WEST KELOWNA FIRE RESCUE STATION 31,West Kelowna,170,1 min,1,1962,49.829101,-119.62394,WEST KELOWNA,West Kelowna,0,4,7,2,19,6,24,39,27,9,127,41,105,103,200
397,Kimberley Alpine Resort,0,4,209,"Ski & Snowboard Areas, Outdoor Activities, Nature & Parks","Kimberley, British Columbia V1A 2Y5, ",https://www.tripadvisor.ca/Attraction_Review-g182146-d2641538-Reviews-Kimberley_Alpine_Resort-Kimberley_Kootenay_Rockies_British_Columbia.html,150,4,94,49.68851,-116.00459,569997.3212,1719124.372,Kimberley,5901028,6040,3250,3035,215,15,40,22253,29768,580,Cranbrook/Canadian Rockies International Airport,49.612222,-115.78194,Cranbrook,25067,25 mins,25,812283,Kimberley Visitor Centre,49.68608,-115.98533,Kimberley,2752,4 mins,4,46,Kimberley,49.67531114,-115.9873367,Kimberley,6976,37,2427,5 mins,5,3184,6 mins,6,1084,49.684301,-115.98088,STN 414 KIMBERLEY,Kimberley,2824,6 mins,6,1374,49.685218,-115.98181,KIMBERLEY FIRE DEPT,Kimberley,3693,7 mins,7,1798,49.674432,-115.97869,KIMBERLEY RCMP,Kimberley,0,1,0,1,1,2,0,3,7,0,1,3,5,19,40
398,Bridal Veil Falls Provincial Park,2,5,1043,"Waterfalls, Nature & Wildlife Areas, Nature & Parks, More","Chilliwack, British Columbia V0X 1X1, ",https://www.tripadvisor.ca/Attraction_Review-g154927-d12534103-Reviews-Bridal_Veil_Falls_Provincial_Park-Chilliwack_British_Columbia.html,2,4,384,49.17284,-121.93985,470329.8843,1296206.742,Chilliwack,5909020,68670,35255,33390,1870,245,145,24726,31776,506,Chilliwack Airport,49.152777,-121.93888,Chilliwack,4932,7 mins,7,812193,Chilliwack Visitor Centre,49.143881,-122.00377,Chilliwack,10945,11 mins,11,166,Chilliwack,49.14529041,-121.9577287,Chilliwack,65421,12,5188,8 mins,8,2675,5 mins,5,1039,49.157119,-121.95129,STN 206 CHILLIWACK,Chilliwack,1667,3 mins,3,1291,49.166408,-121.95351,CHILLIWACK FIRE HALL 1 MAIN,Chilliwack,1312,3 mins,3,1954,49.171056,-121.95166,DOWNTOWN CHILLIWACK COMMUNITY POLICING,Chilliwack,0,3,2,0,10,2,10,31,13,1,7,25,32,57,66
399,Reiswig Park,2,5,755,Nature & Parks,"Lake Country, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1172397-d2256628-Reviews-Reiswig_Park-Lake_Country_Okanagan_Valley_British_Columbia.html,5,4.5,113,50.04926,-119.40875,581223.3496,1471372.725,Lake Country,5935016,9545,5520,5250,275,45,20,25477,32916,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,12001,12 mins,12,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,23570,27 mins,27,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,22198,23 mins,23,2212,3 mins,3,1189,50.033543,-119.40306,STN 343 LAKE COUNTRY-WINFIELD,Lake Country,3874,5 mins,5,1557,50.03609,-119.41103,WINFIELD VOL FIRE DEPT,Lake Country,3589,4 mins,4,1961,50.02917,-119.40314,LAKE COUNTRY RCMP,Lake Country,0,2,8,3,24,7,27,39,30,8,93,46,110,112,167
